#TYPE Selected.System.Diagnostics.Process
"PorcessName","Path","Id"
,"C:\Windows\System32\svchost.exe","4040"
,"C:\Windows\System32\svchost.exe","4084"
,"C:\Windows\System32\svchost.exe","4200"
,"C:\Windows\system32\svchost.exe","4372"
,"C:\Windows\system32\svchost.exe","4404"
,"C:\Windows\System32\svchost.exe","4464"
,"C:\Windows\system32\svchost.exe","4504"
,"C:\Windows\system32\svchost.exe","4676"
,"C:\Windows\System32\svchost.exe","4700"
,"C:\Windows\system32\svchost.exe","4720"
,"C:\Windows\System32\svchost.exe","4728"
,"C:\Windows\system32\svchost.exe","4856"
,"C:\Windows\system32\svchost.exe","4912"
,"C:\Windows\system32\svchost.exe","4960"
,"C:\Windows\System32\svchost.exe","5016"
,"C:\Windows\system32\svchost.exe","5028"
,"C:\Windows\system32\svchost.exe","5300"
,"C:\Windows\System32\svchost.exe","5364"
,"C:\Windows\System32\svchost.exe","5516"
,"C:\Windows\System32\svchost.exe","5604"
,"C:\Windows\System32\svchost.exe","5808"
,"C:\Windows\system32\svchost.exe","6288"
,"C:\Windows\system32\svchost.exe","7456"
,"C:\Windows\system32\svchost.exe","7476"
,"C:\Windows\System32\svchost.exe","7572"
,"C:\Windows\system32\svchost.exe","8208"
,"C:\Windows\system32\svchost.exe","8592"
,"C:\Windows\System32\svchost.exe","8628"
,"C:\Windows\system32\svchost.exe","8660"
,"C:\Windows\System32\svchost.exe","8880"
,"C:\Windows\System32\svchost.exe","9484"
,"C:\Windows\System32\svchost.exe","9560"
,"C:\Windows\system32\svchost.exe","9668"
,"C:\Windows\system32\svchost.exe","9776"
,"C:\Windows\system32\svchost.exe","9872"
,,"10128"
,"C:\Windows\system32\svchost.exe","10576"
,"C:\Windows\system32\svchost.exe","11972"
,"C:\Windows\system32\svchost.exe","11992"
,"C:\Windows\system32\svchost.exe","12032"
,"C:\Windows\system32\svchost.exe","13696"
,"C:\Windows\system32\svchost.exe","13856"
,"C:\Windows\System32\svchost.exe","14776"
,"C:\Windows\System32\svchost.exe","17724"
,"C:\Windows\system32\svchost.exe","17960"
,,"18552"
,"C:\Windows\system32\svchost.exe","20572"
,"C:\Windows\system32\svchost.exe","20696"
,,"26364"
,,"4"
,"C:\Windows\system32\taskhostw.exe","8504"
,"C:\Windows\system32\taskhostw.exe","18012"
,"C:\Windows\system32\taskhostw.exe","18232"
,"C:\Windows\TbtP2pShortcutService.exe","5144"
,"C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe","18848"
,"C:\Program Files\TortoiseSVN\bin\TSVNCache.exe","2644"
,"C:\Program Files\TortoiseSVN\bin\TSVNCache.exe","9448"
,"C:\Program Files\McAfee\WebAdvisor\UIHost.exe","20192"
,"C:\Windows\System32\oobe\UserOOBEBroker.exe","16520"
,"C:\Windows\System32\DriverStore\FileRepository\wavesapo10de.inf_amd64_f7373b847419c8d1\WavesAudioService.exe","5176"
