#TYPE Selected.System.Diagnostics.Process
"PorcessName","Path","Id"
,"C:\Windows\System32\DriverStore\FileRepository\wavesapo10de.inf_amd64_f7373b847419c8d1\WavesSysSvc64.exe","8984"
,,"980"
,"C:\Windows\system32\winlogon.exe","1052"
,"C:\Windows\system32\WLANExt.exe","4344"
,"C:\Windows\system32\wbem\wmiprvse.exe","800"
,"C:\Windows\system32\wbem\wmiprvse.exe","7936"
,"C:\Windows\system32\wbem\wmiprvse.exe","17520"
,"C:\Windows\system32\wbem\wmiprvse.exe","18204"
,"C:\Windows\System32\DriverStore\FileRepository\mewmiprov.inf_amd64_f3c201b4c28c14d0\WMIRegistrationService.exe","4592"
,"C:\Windows\system32\WpcMon.exe","9956"
,"C:\Program Files\WindowsApps\MicrosoftCorporationII.WindowsSubsystemForLinux_1.2.5.0_x64__8wekyb3d8bbwe\wslservice.exe","6996"
,"C:\Windows\System32\WUDFHost.exe","1272"
,"C:\Windows\System32\WUDFHost.exe","1356"
,"C:\Windows\System32\WUDFHost.exe","1504"
